candidate_id,library,source_object,category,motion_types,joint_count,body_count
148,partnet_mobility,148,Faucet,revolute,2,3
149,partnet_mobility,149,Faucet,revolute,4,5
152,partnet_mobility,152,Faucet,revolute,3,4
153,partnet_mobility,153,Faucet,revolute,3,4
154,partnet_mobility,154,Faucet,revolute,3,4
156,partnet_mobility,156,Faucet,revolute,2,3
167,partnet_mobility,167,Faucet,revolute,4,5
168,partnet_mobility,168,Faucet,revolute,3,4
179,partnet_mobility,179,Chair,revolute|prismatic,18,19
693,partnet_mobility,693,Faucet,revolute|prismatic,3,4
723,partnet_mobility,723,Chair,revolute|prismatic,13,14
762,partnet_mobility,762,Chair,revolute|prismatic,18,19
811,partnet_mobility,811,Faucet,revolute,3,4
822,partnet_mobility,822,Faucet,revolute,2,3
857,partnet_mobility,857,Faucet,revolute,2,3
862,partnet_mobility,862,Faucet,revolute,3,4
866,partnet_mobility,866,Faucet,revolute,3,4
885,partnet_mobility,885,Faucet,revolute,3,4
908,partnet_mobility,908,Faucet,revolute,3,4
912,partnet_mobility,912,Faucet,revolute,2,3
920,partnet_mobility,920,Faucet,revolute,4,5
929,partnet_mobility,929,Faucet,revolute,3,4
931,partnet_mobility,931,Faucet,revolute,2,3
960,partnet_mobility,960,Faucet,revolute,3,4
991,partnet_mobility,991,Faucet,revolute,2,3
1011,partnet_mobility,1011,Faucet,revolute|prismatic,3,4
1028,partnet_mobility,1028,Faucet,revolute,3,4
1034,partnet_mobility,1034,Faucet,revolute,3,4
1052,partnet_mobility,1052,Faucet,revolute,3,4
1053,partnet_mobility,1053,Faucet,revolute,2,3
1280,partnet_mobility,1280,Faucet,revolute,3,4
1288,partnet_mobility,1288,Faucet,revolute,2,3
1343,partnet_mobility,1343,Faucet,revolute,2,3
1370,partnet_mobility,1370,Faucet,revolute|prismatic,3,4
1380,partnet_mobility,1380,Faucet,revolute,2,3
1386,partnet_mobility,1386,Faucet,revolute,4,5
1401,partnet_mobility,1401,Faucet,revolute|prismatic,4,5
1427,partnet_mobility,1427,Faucet,prismatic,2,3
1435,partnet_mobility,1435,Faucet,revolute,3,4
1444,partnet_mobility,1444,Faucet,revolute,2,3
1466,partnet_mobility,1466,Faucet,revolute,2,3
1479,partnet_mobility,1479,Faucet,revolute,4,5
1488,partnet_mobility,1488,Faucet,revolute,2,3
1492,partnet_mobility,1492,Faucet,revolute,2,3
1528,partnet_mobility,1528,Faucet,revolute,3,4
1556,partnet_mobility,1556,Faucet,revolute,2,3
1596,partnet_mobility,1596,Faucet,revolute,3,4
1626,partnet_mobility,1626,Faucet,revolute,3,4
1633,partnet_mobility,1633,Faucet,revolute,2,3
1646,partnet_mobility,1646,Faucet,revolute,2,3
1653,partnet_mobility,1653,Faucet,revolute,3,4
1667,partnet_mobility,1667,Faucet,revolute,2,3
1668,partnet_mobility,1668,Faucet,revolute,3,4
1712,partnet_mobility,1712,Faucet,revolute,3,4
1721,partnet_mobility,1721,Faucet,revolute,3,4
1741,partnet_mobility,1741,Faucet,revolute,2,3
1785,partnet_mobility,1785,Faucet,revolute,3,4
1788,partnet_mobility,1788,Faucet,revolute,2,3
1794,partnet_mobility,1794,Faucet,revolute,3,4
1795,partnet_mobility,1795,Faucet,revolute,2,3
1802,partnet_mobility,1802,Faucet,revolute,4,5
1817,partnet_mobility,1817,Faucet,revolute,2,3
1823,partnet_mobility,1823,Faucet,revolute,2,3
1832,partnet_mobility,1832,Faucet,revolute,2,3
1885,partnet_mobility,1885,Faucet,revolute,3,4
1886,partnet_mobility,1886,Faucet,revolute,3,4
1896,partnet_mobility,1896,Faucet,revolute,3,4
1901,partnet_mobility,1901,Faucet,revolute,3,4
1903,partnet_mobility,1903,Faucet,revolute|prismatic,4,5
1925,partnet_mobility,1925,Faucet,revolute|prismatic,3,4
1931,partnet_mobility,1931,Faucet,revolute,2,3
1935,partnet_mobility,1935,Faucet,revolute,2,3
1941,partnet_mobility,1941,Faucet,revolute,4,5
1961,partnet_mobility,1961,Faucet,revolute,3,4
1986,partnet_mobility,1986,Faucet,revolute,3,4
2017,partnet_mobility,2017,Faucet,revolute,2,3
2035,partnet_mobility,2035,Faucet,revolute,2,3
2054,partnet_mobility,2054,Faucet,revolute,3,4
2082,partnet_mobility,2082,Faucet,revolute,4,5
2083,partnet_mobility,2083,Faucet,revolute,2,3
2084,partnet_mobility,2084,Faucet,revolute,3,4
2095,partnet_mobility,2095,Faucet,revolute,2,3
2108,partnet_mobility,2108,Faucet,revolute,2,3
2113,partnet_mobility,2113,Faucet,revolute,3,4
2115,partnet_mobility,2115,Faucet,revolute,2,3
2140,partnet_mobility,2140,Faucet,revolute,4,5
2170,partnet_mobility,2170,Faucet,revolute,2,3
2230,partnet_mobility,2230,Chair,revolute|prismatic,18,19
2320,partnet_mobility,2320,Chair,revolute|prismatic,18,19
2364,partnet_mobility,2364,Chair,revolute|prismatic,20,21
2440,partnet_mobility,2440,Chair,revolute|prismatic,19,20
2471,partnet_mobility,2471,Chair,revolute|prismatic,8,9
2490,partnet_mobility,2490,Chair,revolute|prismatic,13,14
2554,partnet_mobility,2554,Chair,revolute|prismatic,19,20
2627,partnet_mobility,2627,Chair,revolute|prismatic,21,22
2780,partnet_mobility,2780,Chair,revolute|prismatic,14,15
3028,partnet_mobility,3028,Chair,revolute|prismatic,19,20
3091,partnet_mobility,3091,Chair,revolute|prismatic,14,15
3140,partnet_mobility,3140,Chair,revolute|prismatic,20,21
3143,partnet_mobility,3143,Chair,revolute|prismatic,20,21
3171,partnet_mobility,3171,Chair,revolute|prismatic,18,19
3193,partnet_mobility,3193,Chair,revolute|prismatic,14,15
3380,partnet_mobility,3380,Bottle,revolute|prismatic,3,4
3386,partnet_mobility,3386,Display,prismatic,6,7
3392,partnet_mobility,3392,Display,prismatic,3,4
3393,partnet_mobility,3393,Display,revolute,2,3
3395,partnet_mobility,3395,Display,prismatic,5,6
3398,partnet_mobility,3398,Bottle,revolute|prismatic,3,4
3517,partnet_mobility,3517,Bottle,revolute|prismatic,3,4
3519,partnet_mobility,3519,Bottle,prismatic,2,3
3520,partnet_mobility,3520,Bottle,revolute|prismatic,3,4
3558,partnet_mobility,3558,Bottle,revolute|prismatic,3,4
3571,partnet_mobility,3571,Bottle,revolute|prismatic,3,4
3574,partnet_mobility,3574,Bottle,revolute|prismatic,3,4
3596,partnet_mobility,3596,Bottle,revolute|prismatic,3,4
3614,partnet_mobility,3614,Bottle,revolute|prismatic,3,4
3615,partnet_mobility,3615,Bottle,revolute|prismatic,3,4
3616,partnet_mobility,3616,Bottle,revolute|prismatic,3,4
3618,partnet_mobility,3618,Bottle,revolute|prismatic,3,4
3625,partnet_mobility,3625,Bottle,prismatic,2,3
3635,partnet_mobility,3635,Bottle,revolute|prismatic,3,4
3655,partnet_mobility,3655,Bottle,revolute|prismatic,3,4
3678,partnet_mobility,3678,Bottle,revolute|prismatic,3,4
3763,partnet_mobility,3763,Bottle,revolute|prismatic,3,4
3822,partnet_mobility,3822,Bottle,revolute|prismatic,3,4
3830,partnet_mobility,3830,Bottle,prismatic,2,3
3854,partnet_mobility,3854,Bottle,revolute|prismatic,3,4
3868,partnet_mobility,3868,Bottle,revolute|prismatic,3,4
3933,partnet_mobility,3933,Bottle,revolute|prismatic,3,4
3934,partnet_mobility,3934,Bottle,revolute|prismatic,3,4
3944,partnet_mobility,3944,Bottle,prismatic,2,3
3971,partnet_mobility,3971,Kettle,revolute,2,3
3990,partnet_mobility,3990,Bottle,revolute|prismatic,3,4
4043,partnet_mobility,4043,Bottle,revolute|prismatic,3,4
4064,partnet_mobility,4064,Bottle,revolute|prismatic,3,4
4084,partnet_mobility,4084,Bottle,revolute|prismatic,3,4
4094,partnet_mobility,4094,Display,revolute,2,3
4108,partnet_mobility,4108,TrashCan,prismatic,2,3
4118,partnet_mobility,4118,Bottle,revolute|prismatic,3,4
4200,partnet_mobility,4200,Bottle,revolute|prismatic,3,4
4204,partnet_mobility,4204,Bottle,prismatic,2,3
4216,partnet_mobility,4216,Bottle,revolute|prismatic,3,4
4233,partnet_mobility,4233,Bottle,revolute|prismatic,3,4
4314,partnet_mobility,4314,Bottle,revolute|prismatic,3,4
4393,partnet_mobility,4393,Bottle,prismatic,2,3
4403,partnet_mobility,4403,Bottle,revolute|prismatic,3,4
4427,partnet_mobility,4427,Bottle,revolute|prismatic,3,4
4500,partnet_mobility,4500,Bottle,prismatic,2,3
4514,partnet_mobility,4514,Bottle,revolute|prismatic,3,4
4529,partnet_mobility,4529,Display,revolute,2,3
4530,partnet_mobility,4530,Display,prismatic,5,6
4533,partnet_mobility,4533,Display,revolute,2,3
4541,partnet_mobility,4541,Display,prismatic,2,3
4542,partnet_mobility,4542,Display,revolute,2,3
4552,partnet_mobility,4552,Display,revolute,2,3
4555,partnet_mobility,4555,Display,revolute,2,3
4562,partnet_mobility,4562,Display,prismatic,2,3
4563,partnet_mobility,4563,Display,revolute,2,3
4564,partnet_mobility,4564,Display,revolute,2,3
4566,partnet_mobility,4566,Display,revolute,2,3
4571,partnet_mobility,4571,Display,revolute,2,3
4574,partnet_mobility,4574,Display,revolute,2,3
4576,partnet_mobility,4576,Display,prismatic,2,3
4578,partnet_mobility,4578,Display,revolute,2,3
4586,partnet_mobility,4586,Display,revolute,2,3
4589,partnet_mobility,4589,Display,revolute,2,3
4590,partnet_mobility,4590,Display,prismatic,2,3
4592,partnet_mobility,4592,Display,revolute,2,3
4594,partnet_mobility,4594,Display,prismatic,2,3
4608,partnet_mobility,4608,Display,revolute,2,3
4627,partnet_mobility,4627,Display,revolute,2,3
4628,partnet_mobility,4628,Display,revolute,2,3
4633,partnet_mobility,4633,Display,revolute,2,3
4681,partnet_mobility,4681,Display,revolute,2,3
4853,partnet_mobility,4853,Display,revolute,2,3
5050,partnet_mobility,5050,Display,revolute,2,3
5088,partnet_mobility,5088,Display,revolute,2,3
5103,partnet_mobility,5103,Display,prismatic,2,3
5306,partnet_mobility,5306,Display,revolute,2,3
5452,partnet_mobility,5452,Display,prismatic,4,5
5477,partnet_mobility,5477,Display,revolute|prismatic,8,9
5601,partnet_mobility,5601,Bottle,prismatic,2,3
5688,partnet_mobility,5688,Bottle,revolute|prismatic,3,4
5696,partnet_mobility,5696,Clock,revolute,3,4
5850,partnet_mobility,5850,Bottle,prismatic,2,3
5861,partnet_mobility,5861,Bottle,revolute|prismatic,3,4
5902,partnet_mobility,5902,Bottle,prismatic,2,3
6037,partnet_mobility,6037,Bottle,revolute|prismatic,3,4
6040,partnet_mobility,6040,Bottle,revolute|prismatic,3,4
6209,partnet_mobility,6209,Bottle,prismatic,2,3
6222,partnet_mobility,6222,Bottle,revolute|prismatic,3,4
6263,partnet_mobility,6263,Bottle,revolute|prismatic,3,4
6335,partnet_mobility,6335,Bottle,prismatic,2,3
6430,partnet_mobility,6430,Bottle,revolute|prismatic,3,4
6493,partnet_mobility,6493,Bottle,revolute|prismatic,3,4
6500,partnet_mobility,6500,Clock,revolute,4,5
6568,partnet_mobility,6568,Clock,revolute,3,4
6608,partnet_mobility,6608,Clock,revolute,3,4
6613,partnet_mobility,6613,Clock,revolute,3,4
6638,partnet_mobility,6638,Clock,revolute,4,5
6641,partnet_mobility,6641,Clock,revolute,2,3
6643,partnet_mobility,6643,Clock,revolute,3,4
6665,partnet_mobility,6665,Clock,revolute,3,4
6728,partnet_mobility,6728,Clock,revolute,3,4
6771,partnet_mobility,6771,Bottle,revolute|prismatic,3,4
6797,partnet_mobility,6797,Clock,revolute,4,5
6808,partnet_mobility,6808,Clock,revolute,3,4
6813,partnet_mobility,6813,Clock,revolute,4,5
6839,partnet_mobility,6839,Clock,revolute,3,4
6843,partnet_mobility,6843,Clock,revolute|prismatic,5,6
6917,partnet_mobility,6917,Clock,revolute,3,4
6934,partnet_mobility,6934,Clock,revolute,4,5
6953,partnet_mobility,6953,Clock,revolute,4,5
6963,partnet_mobility,6963,Clock,revolute,4,5
7004,partnet_mobility,7004,Clock,revolute,3,4
7007,partnet_mobility,7007,Clock,revolute,3,4
7015,partnet_mobility,7015,Clock,revolute,3,4
7032,partnet_mobility,7032,Clock,revolute,3,4
7037,partnet_mobility,7037,Clock,revolute,3,4
7054,partnet_mobility,7054,Clock,revolute,4,5
7064,partnet_mobility,7064,Clock,revolute,4,5
7068,partnet_mobility,7068,Clock,revolute,3,4
